id,minN,minE,maxN,maxE,byteOffset,vertexCount
2483,6675958,533994,6695680,546604,6581992,253
2483,6693387,543767,6694294,544876,6584016,20
2484,6567510,461648,6600568,486906,6584176,586
2485,6543660,372714,6556306,385855,6588864,55
2486,6606150,435936,6643596,468252,6589304,782
2487,6573400,549368,6586436,556680,6595560,99
2488,6609324,578206,6616916,586814,6596352,72
2489,6602374,580648,6615308,591146,6596928,144
2490,6598924,543780,6612506,554190,6598080,296
2492,6637772,579390,6658900,596258,6600448,783
2492,6645804,582978,6646742,583680,6606712,65
2493,6586404,478752,6611114,510040,6607232,1030
2494,6562340,542078,6591364,552878,6615472,423
2495,6569470,663658,6585966,682788,6618856,274
2496,6629054,643054,6641348,649824,6621048,216
2497,6635540,645938,6641294,650942,6622776,54
2498,6593122,616808,6601152,627120,6623208,31
2500,6565260,510876,6571814,523664,6623456,111
2501,6565910,503490,6570060,511222,6624344,89
2501,6563828,509746,6566052,510700,6625056,13
2502,6565368,508400,6574718,515010,6625160,60
2503,6572318,505498,6578642,509744,6625640,39
2504,6547136,502464,6560352,515602,6625952,321
2507,6560428,646988,6568214,652684,6628520,88
2509,6469830,276540,6477778,283792,6629224,42
2511,6467256,281976,6474648,286888,6629560,16
2514,6460718,331954,6475432,346742,6629688,544
2515,6403110,399552,6410570,405490,6634040,119
2517,6385558,308126,6397994,318618,6634992,205
2519,6483654,480974,6500674,508112,6636632,211
2522,6358126,479424,6365792,489450,6638320,223
2523,6381862,477204,6399458,487518,6640104,927
2524,6387550,489756,6401106,507742,6647520,1138
2525,6357610,498866,6377924,511926,6656624,645
2525,6373812,505406,6374324,506060,6661784,36
2526,6219160,508404,6251190,522130,6662072,1340
2527,6197471,470846,6217010,477644,6672792,149
2528,6158304,380182,6164028,383496,6673984,217
2529,6158238,366346,6167896,379628,6675720,151
2531,7383416,854310,7452334,892654,6676928,780
2531,7433974,869474,7435070,870752,6683168,7
2531,7442722,879780,7445940,882994,6683224,6
